partner,warehouse,name_nom,price_deal,product_price,,2020-01,2020-02,2020-03,2021-01,2021-02,2021-03,All
Abigar,Зеленый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.0128090493333333,42.75521871428572,25,0,0,0,0,0,60,60
Acorn,Средний Склад,Амортизатор кабины VOLVO (M6000518),9.812131288888887,19.58665592857143,12,0,0,0,0,6,6,12
Acorn,Средний Склад,Амортизатор кабины VOLVO (M6000518),9.812131288888887,19.58665592857143,21,0,0,0,0,0,6,6
Affidelice au Chablis,Розовый Склад,Амортизатор кабины VOLVO (M6000518),7.883136161777778,19.58665592857143,10,0,0,0,0,6,0,6
Affidelice au Chablis,Розовый Склад,Амортизатор кабины VOLVO (M6000518),7.883136161777778,19.58665592857143,19,0,12,0,0,0,0,12
Affidelice au Chablis,Розовый Склад,Амортизатор кабины VOLVO (M6000518),7.883136161777778,19.58665592857143,24,0,0,0,0,0,12,12
Affidelice au Chablis,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.7176423857777778,42.75521871428572,10,0,0,0,0,300,0,300
Affidelice au Chablis,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.7176423857777778,42.75521871428572,11,0,0,60,0,0,0,60
Affidelice au Chablis,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.7176423857777778,42.75521871428572,12,0,60,0,0,0,0,60
Affidelice au Chablis,Розовый Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.5643219319999997,134.92861000000002,03,0,0,0,0,90,0,90
Affidelice au Chablis,Средний Склад,Амортизатор кабины VOLVO (M6000518),6.882138225333333,19.58665592857143,25,0,0,0,6,0,0,6
Affidelice au Chablis,Средний Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.4294641506666668,42.75521871428572,25,0,0,0,6,0,0,6
Affidelice au Chablis,Средний Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.5307491439999998,134.92861000000002,25,0,0,0,120,0,0,120
Affidelice au Chablis,Средний Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),80.67144315866666,34.741461,25,0,0,0,12,0,0,12
African buffalo,Зеленый Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.3309714200000005,134.92861000000002,18,0,60,0,0,0,0,60
African forest elephant,Изумрудный Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),291.5166262666667,228.60458085714288,18,0,0,0,0,6,0,6
African wild dog,Ораньжевый склад,Амортизатор кабины VOLVO (M6000518),10.761565956,19.586655928571435,12,14,0,0,0,0,0,14
Aldabra tortoise,Розовый Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),107.929288896,21.58250657142857,19,0,0,6,0,0,0,6
Alligator Snapper,Розовый Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),82.4020708,21.58250657142857,18,0,0,0,0,0,6,6
American Milking Devon,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.1571578720000004,42.75521871428572,28,12,0,0,0,0,0,12
American eelgrass,Белый cклад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),85.39939831600002,21.58250657142857,14,0,6,0,0,0,0,6
American eelgrass,Большой Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),263.177510104,228.60458085714288,26,0,0,0,0,6,0,6
American eelgrass,Большой Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.9834859813333334,134.92861000000002,20,0,120,0,0,0,0,120
American eelgrass,Большой Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.9834859813333334,134.92861000000002,29,0,0,0,0,0,60,60
American eelgrass,Зеленый Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),110.66256714266666,34.741461,16,0,0,0,0,0,24,24
American eelgrass,Изумрудный Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),74.766598876,21.58250657142857,10,0,0,0,0,0,6,6
Amistad gambusia,Малый Склад,Амортизатор кабины VOLVO (M6000518),9.813758532102565,19.58665592857143,03,0,0,0,0,6,0,6
Amistad gambusia,Малый Склад,Амортизатор кабины VOLVO (M6000518),9.813758532102565,19.58665592857143,17,21,0,0,0,0,0,21
Amsterdam Island cattle,Большой Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.209712742666667,42.75521871428572,10,70,0,0,0,0,0,70
Anaconda,Матовый Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.236061006666666,134.92861000000002,28,48,0,0,0,0,0,48
Anaconda,Матовый Склад,Рамка фары черный пластик лев VOLVO о.н.20453930 (M3141232),98.479611504,5.737122,20,0,0,0,0,0,6,6
Angler Frogfish,Белый cклад,Амортизатор кабины VOLVO (M6000518),7.997123096,19.58665592857143,03,0,0,0,0,0,6,6
Ankina,Синий Склад,Амортизатор кабины VOLVO (M6000518),9.372615802666669,19.58665592857143,08,0,0,0,0,6,0,6
Ankole,Большой Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),101.55279652200001,34.741461,01,0,0,0,0,6,6,12
Ankole,Большой Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),101.55279652200001,34.741461,11,0,0,0,0,0,6,6
Ankole,Большой Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),101.55279652200001,34.741461,13,0,0,0,12,0,0,12
Anpan,Матовый Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.13180186666666,34.741461,19,0,0,0,0,24,0,24
Anthoriro,Изумрудный Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),110.32273120000002,34.741461,09,0,0,0,0,0,6,6
Anthoriro,Изумрудный Склад,Рамка фары черный пластик лев VOLVO о.н.20453930 (M3141232),79.95451539466667,5.737122,22,0,0,6,0,0,0,6
Apistogramma eremnopyge,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),10.037790347727274,19.58665592857143,08,7,0,0,0,0,0,7
Apistogramma eremnopyge,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),10.037790347727274,19.58665592857143,10,0,0,6,0,0,0,6
Apistogramma eremnopyge,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),10.037790347727274,19.58665592857143,15,7,0,12,0,0,0,19
Apistogramma eremnopyge,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),10.037790347727274,19.58665592857143,26,6,0,0,0,0,0,6
Apistogramma eremnopyge,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),10.037790347727274,19.58665592857143,31,0,0,0,0,0,6,6
