project,date,partner,values,% of B
Грузовой,2021-01,Allauad's haplo,4,6.779661016949152
Грузовой,2021-01,Blackstripe corydoras,4,6.779661016949152
Грузовой,2021-01,Erica hirtiflora,3,5.084745762711865
Грузовой,2021-01,Jamaica Hope,8,13.559322033898304
Грузовой,2021-01,Jubilee Blue,2,3.389830508474576
Грузовой,2021-01,Tommes,21,35.59322033898305
Грузовой,2021-01,Whole wheat bread,17,28.8135593220339
ТАЙФУН,2021-01,Jubilee Blue,1,0.078064012490242
ТАЙФУН,2022-02,Allauad's haplo,1,0.078064012490242
ТАЙФУН,2022-02,Arsi,1,0.078064012490242
ТАЙФУН,2022-02,Jamaica Hope,2,0.156128024980484
ТАЙФУН,2022-03,Allauad's haplo,10,0.78064012490242
ТАЙФУН,2022-04,Arsi,1,0.078064012490242
ТАЙФУН,2022-04,Jamaica Hope,4,0.312256049960968
ТАЙФУН,2022-04,Tommes,6,0.468384074941452
ТАЙФУН,2022-05,Allauad's haplo,2,0.156128024980484
ТАЙФУН,2022-05,Pollock,3,0.234192037470726
ТАЙФУН,2022-06,Allauad's haplo,4,0.312256049960968
ТАЙФУН,2022-06,Blackstripe corydoras,4,0.312256049960968
ТАЙФУН,2022-06,Mahi Mahi,10,0.78064012490242
ТАЙФУН,2022-06,Tommes,2,0.156128024980484
ТАЙФУН,2022-07,Allauad's haplo,11,0.858704137392662
ТАЙФУН,2022-07,Jaborosa Plant,1,0.078064012490242
ТАЙФУН,2022-07,Mahi Mahi,2,0.156128024980484
ТАЙФУН,2022-07,Papaya,2,0.156128024980484
ТАЙФУН,2022-07,Tommes,3,0.234192037470726
ТАЙФУН,2022-08,Allauad's haplo,4,0.312256049960968
ТАЙФУН,2022-08,Pollock,4,0.312256049960968
ТАЙФУН,2022-08,bustard,3,0.234192037470726
ТАЙФУН,2022-09,Jubilee Blue,2,0.156128024980484
ТАЙФУН,2022-09,Pollock,5,0.39032006245121
ТАЙФУН,2022-09,Tommes,4,0.312256049960968
ТАЙФУН,2022-10,Allauad's haplo,12,0.936768149882904
ТАЙФУН,2022-10,Braunvieh,2,0.156128024980484
ТАЙФУН,2022-11,Allauad's haplo,57,4.449648711943794
ТАЙФУН,2022-11,Australian Lowline,2,0.156128024980484
ТАЙФУН,2022-11,Pollock,11,0.858704137392662
ТАЙФУН,2022-11,Tommes,10,0.78064012490242
ТАЙФУН,2022-12,Allauad's haplo,47,3.669008587041374
ТАЙФУН,2022-12,Jamaica Hope,1,0.078064012490242
ТАЙФУН,2023-01,Allauad's haplo,68,5.3083528493364565
ТАЙФУН,2023-01,Pollock,5,0.39032006245121
ТАЙФУН,2023-02,Allauad's haplo,36,2.810304449648712
ТАЙФУН,2023-02,Azure-winged magpie,2,0.156128024980484
ТАЙФУН,2023-02,Pollock,12,0.936768149882904
ТАЙФУН,2023-02,Whole wheat bread,2,0.156128024980484
ТАЙФУН,2023-03,Allauad's haplo,67,5.230288836846214
ТАЙФУН,2023-04,Allauad's haplo,44,3.434816549570648
ТАЙФУН,2023-04,Jubilee Blue,2,0.156128024980484
ТАЙФУН,2023-04,Tommes,2,0.156128024980484
ТАЙФУН,2023-05,Allauad's haplo,86,6.713505074160812
ТАЙФУН,2023-05,Braunvieh,2,0.156128024980484
ТАЙФУН,2023-05,Jamaica Hope,2,0.156128024980484
ТАЙФУН,2023-05,Jubilee Blue,1,0.078064012490242
ТАЙФУН,2023-05,Pollock,9,0.702576112412178
ТАЙФУН,2023-06,Allauad's haplo,87,6.791569086651054
ТАЙФУН,2023-06,Desert horned viper,1,0.078064012490242
ТАЙФУН,2023-06,Jamaica Hope,6,0.468384074941452
ТАЙФУН,2023-06,Pollock,13,1.014832162373146
ТАЙФУН,2023-06,Tommes,4,0.312256049960968
ТАЙФУН,2023-07,Allauad's haplo,76,5.932864949258392
ТАЙФУН,2023-07,Jamaica Hope,5,0.39032006245121
ТАЙФУН,2023-07,Tommes,8,0.624512099921936
ТАЙФУН,2023-08,Allauad's haplo,61,4.761904761904762
ТАЙФУН,2023-08,Braunvieh,2,0.156128024980484
ТАЙФУН,2023-08,Jamaica Hope,1,0.078064012490242
ТАЙФУН,2023-08,Tommes,9,0.702576112412178
ТАЙФУН,2023-09,Allauad's haplo,106,8.274785323965652
ТАЙФУН,2023-09,Pollock,8,0.624512099921936
ТАЙФУН,2023-09,Tommes,5,0.39032006245121
ТАЙФУН,2023-10,Allauad's haplo,91,7.103825136612022
ТАЙФУН,2023-10,Jamaica Hope,2,0.156128024980484
ТАЙФУН,2023-10,P'tit Berrichon,2,0.156128024980484
ТАЙФУН,2023-10,Ribbed slitshell,1,0.078064012490242
ТАЙФУН,2023-10,Tommes,13,1.014832162373146
ТАЙФУН,2023-11,Allauad's haplo,92,7.181889149102264
ТАЙФУН,2023-11,Azure-winged magpie,2,0.156128024980484
ТАЙФУН,2023-11,Jamaica Hope,12,0.936768149882904
ТАЙФУН,2023-11,Pollock,10,0.78064012490242
ТАЙФУН,2023-11,Tommes,7,0.546448087431694
ТАЙФУН,2023-12,Allauad's haplo,58,4.5277127244340365
ТАЙФУН,2023-12,Jamaica Hope,7,0.546448087431694
ТАЙФУН,2023-12,Jubilee Blue,2,0.156128024980484
ТАЙФУН,2023-12,Tommes,16,1.249024199843872
